,S1D0,S1D1,S1D3,S1D7,S1D14,S1D28,S2D0,S2D1,S2D2,S2D3,S2D14,S2D28,S3D0,S3D1,S3D2,S3D3,S3D7,S3D14,S3D28,S4D0,S4D1,S4D2,S4D3,S4D7,S4D14,S4D28,S5D0,S5D1,S5D2,S5D3,S5D7,S5D14,S5D28,S6D0,S6D1,S6D2,S6D3,S6D7,S6D14,S6D28,S7D0,S7D1,S7D2,S7D3,S7D7,S7D14,S7D28,S8D0,S8D1,S8D2,S8D3,S8D7,S8D14,S9D0,S9D1,S9D2,S9D3,S9D7,S9D14,S9D28,S10D0,S10D1,S10D2,S10D3,S10D28,S11D0,S11D1,S11D2,S11D3,S11D7,S11D14,S11D28,S12D0,S12D3,S12D7,S13D0,S13D1,S13D2,S13D3,S13D7,S13D14,S13D28,S14D0,S14D1,S14D2,S14D3,S14D7,S14D14,S14D28,S15D0,S15D2,S15D3,S15D7,S15D14,S15D28,S16D0,S16D1,S16D2,S16D3,S16D7,S16D14,S16D28,S17D0,S17D1,S17D2,S17D3,S17D7,S17D14,S17D28,S19D0,S19D1,S19D2,S19D3,S19D7,S19D14,S19D28,S20D0,S20D1,S20D2,S20D3,S20D7,S20D14,S20D28,S21D0,S21D1,S21D2,S21D3,S21D7,S21D14,S21D28,S22D0,S22D1,S22D2,S22D3,S22D7,S22D14,S22D28,S23D0,S23D1,S23D2,S23D3,S23D7,S23D14,S23D28,S24D0,S24D1,S24D2,S24D3,S24D7,S24D14,S24D28,S25D0,S25D1,S25D2,S25D3,S25D7,S25D14,S25D28,S26D0,S26D1,S26D2,S26D3,S26D7,S26D14,S26D28,S27D0,S27D1,S27D2,S27D3,S27D7,S27D14,S27D28,S29D0,S29D1,S29D2,S29D3,S29D7,S29D14,S29D28,S30D0,S30D1,S30D2,S30D3,S30D7,S30D14,S30D28,S31D0,S31D1,S31D2,S31D3,S31D7,S31D14,S31D28,S33D0,S33D1,S33D3,S33D7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,0.00025933609958506224,0.0003107786612941252,0.00018432870835846906,0.0004549294859296809,0.001075074123531675,0.00033981912852836394,8.864462370357238e-05,0.0,0.00010576328549578574,0.0003328719844426146,0.0,0.0,0.014580464352153849,0.004863078960068306,0.009385503834990674,0.0057603060570161615,0.017120709022008813,0.008229318005875055,0.003072179459966709,0.0003885942341017697,0.0013480034975225882,0.00160115854529137,0.0005053429488866663,0.0006100226725093283,0.0010727029926224305,0.00249290297955581,0.003464681588230125,0.0010187100486803429,0.052390033053648616,0.018519356210362516,0.0012829006172644774,0.000350494586805826,0.008668135981383208,0.007960686935292031,0.0012037733665142658,0.0006376902673678179,9.838404210837003e-05,0.0005217039489794832,0.0006037102600047069,0.0028603567411216455,0.004573614730030779,0.00517148339129392,0.005522398566992327,0.006955089527412674,0.006789730532569488,0.003657250029304888,0.0020048557975279576,0.00032324194659702786,0.003761938396339404,0.002501407718629532,0.0019444402574499194,0.002935876067110573,0.0028819374369323915,0.11729694937342562,0.09773075316720034,0.10859855641137432,0.12530991520303353,0.22588070625137016,0.08545392554939095,0.062371147942418326,0.004481808709553104,0.02422279792746114,0.1660877315264463,0.04019876010063406,0.013129727415441701,0.00838671365432916,0.017996777511765722,0.011087145722178076,0.010530145908379725,0.01647725422514572,0.0016287603759885397,0.008696085267456919,0.00255578867060843,0.01765501473263883,0.015763473425514485,0.014241640202460605,0.011013042589008983,0.004445818078075222,0.001375455178676918,0.034861961418505255,0.025633282410203573,0.03601702127659574,0.0032641336989163074,0.0029581643580695563,0.009802676689437996,0.026638042078145126,0.00968964141981799,0.009057605215334467,0.018081439504586082,0.01701701701701702,0.2926801453218423,0.17845229103726082,0.2621458036856232,0.27126059153347803,0.02924791086350975,0.04554473063748388,0.01973893664438077,0.003336070178471112,0.0010090028080000626,0.004623968205441761,0.0639762062589401,0.011383662352920234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.135582591245454e-05,3.214968895175939e-05,0.0,0.0,0.0013161032743589517,0.00016854508947545838,0.008741361998700608,0.00012619689871121417,0.0001920009452354227,0.00036258683954807177,0.00014812851317953956,0.0001103491763222196,0.00015693782907901034,0.017119135371249167,0.00010300782859497322,0.0002289341143407487,0.00010196958168940065,0.0004836011638139483,0.11848054742848853,0.004160161946098025,0.004780316344463972,0.16721702968666366,0.029886139885283793,0.0027959269944155623,0.1567833405020248,0.0011093609742052403,0.15398896221160824,0.046427039547053274,0.007410407313899684,0.010323985750704867,0.016720836433410345,0.011991772424614433,0.018812842051673665,0.018923828361522625,0.021958883203160067,0.2284009094353922,0.0084031376446369,0.005974569340300794,0.019052689316942536,0.01398717478289738,0.0050960762682561375,0.005366502665392755,0.017959311944837276,0.040740441354781345,0.16662765423842166,0.1249905532836786,0.07259604988106394,0.017126672591509757,0.0006537423779581843,0.06898457796694489,0.05805908504985137,0.027677919831337675,0.055307791948117434,0.042246772029483,0.010498712071194101,0.014931628346702273,0.005724222882399826,0.006567425569176883,0.011283774563318777,0.01473292493172149,0.002977431569114777,0.005327865544047725,0.00017248318288966825,0.0024753886115838415,0.0030202458855548633,0.0028122511282187416,0.002424769437871554,0.00021073335206518685,0.00012077190500427015,0.00021376458013848228,0.001793297956455465,0.0014888733305564665,0.0012586585571887144,0.0018575316428355436,0.0001686056314280897,0.0003458090601973772,0.00019431912269140433,0.00018330921369995177,0.00023191922075141828,0.00011909451523951739,0.0,0.00014225256943703547,0.0,0.0,0.0,0.0,1.724435247456458e-05,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6101244626209606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7285337712285553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,0.00035364013579781213,0.003600745868787106,3.351431061063074e-05,0.0003639435887437447,0.0005205622071837585,0.0003178953137845985,0.0001662086694441982,0.0007900887752526638,0.00027661166975820887,0.0004204698750854079,0.0009859392625884904,0.00043224334294991,0.007900268174240777,0.008847586403177706,0.0025433618256350925,0.00279320501255312,0.005011541357559898,0.013637761540664073,0.003910046585412175,0.020952581000892718,0.013917225298746722,0.016633691639300792,0.027699110385850396,0.012851144300863182,0.006075001641892335,0.017008993535151125,0.0005774469313716876,0.0005054668180474983,0.0006992117976099669,0.0005609184587408285,0.00043113873203150466,0.0014214502687125165,0.0016252754965093515,0.012081881351334433,0.005220209502864749,0.0008225280260251564,0.00028695345614941257,0.0033644581199493203,0.004727358307155502,0.003063902726444909,0.0009446364330528288,0.001528960306991246,0.0016113514232300556,0.0015899677114249373,0.0007426267769997878,0.002297503223537686,0.0012691288993525603,0.000620964792146922,0.002472130946165894,0.0005414302421276043,0.003496977827351793,0.005084903505283731,0.0025509586276488395,0.004513560547666537,0.0036737977013627855,0.007072615414426197,0.006062878929933121,0.005590313496011737,0.004267013813553193,0.003231992221612035,0.005219261310381905,0.037634515743324035,0.01015802644057726,0.04832629260684531,0.003193235336092479,0.004609528630673079,0.004879247721955704,0.002277973284898021,0.0025251973947531202,0.006170829398547657,0.0026001295158853198,0.0030879569678254806,0.006952126645050544,0.03711336886341314,0.011030294003260267,0.0013653267355113186,0.0010305061279715548,0.0006815336091167008,0.0006612765282100567,0.002394979015055254,0.0008615482999964472,0.001123404255319149,0.01339227426183948,0.004634750092168326,0.0004317241029027097,0.000798626019750966,0.0016950074326529132,0.002961509985480909,0.0028431773480555394,0.0025352455258997315,0.0025415030709828776,0.001479103726082578,0.0006124691513699494,0.0008548656100974715,0.0042689258459560585,0.0013523733262155789,0.0007707903952814223,0.0003975627673825677,0.0003128690877519574,0.0012515285845307246,0.0010292014094826082,0.001860191893479538,0.0008137275039896348,0.0005637105684457372,0.0007025964491249122,0.0019370744306175158,0.00032263008041554756,0.0005665544049604985,0.0008291549659342465,0.0011601655587608177,0.00016878586699673682,0.0019882058130636375,0.005678513731825525,0.0028971937851660144,0.002198414210549457,0.00015187694592336964,5.52111431861562e-05,1.47693034796479e-05,0.0,0.0,3.9410420115078424e-05,0.0,0.00024088839640594513,3.169471649076099e-05,0.0,0.0,0.0,0.0016764594466071845,0.00018013072343929593,0.00036906854130052725,0.0023798740066702352,0.0024141768684187996,0.0,5.6808498551383284e-05,0.0,0.00115609863124673,0.0010980526722141203,0.0001895685591927826,0.0005318161098073644,0.0002741120726788581,0.00017073031926569704,0.0001034109711085656,4.036652807492028e-05,0.0,0.0015346722243273967,0.000727621211045645,0.0005337511514389759,0.00030652082728358014,0.0008037601998916671,0.00023874993825432632,0.000776848139582645,0.0005360988640249933,0.001194549977995132,0.0005517471994649724,0.00041985405872918574,0.0001351546168817127,0.0014286070250919874,0.001485778131723146,0.002109704641350211,0.0027271372074465752,0.000774837599445,0.0011214563284041416,0.0007841223927930439,0.0013855696178989556,0.011354665159208974,0.0003260633287442939,0.0004991243432574431,0.00034115720524017465,0.0004134794293983874,8.340144451301896e-05,0.00048435141309524773,0.0004024607600758926,0.002141536858047863,0.00178313952000273,0.0005807008229360233,0.0007692372009799413,0.0015554128366716171,0.004563452696232779,0.003894233003392351,0.0002771460478158446,0.002126961900794952,0.0006842372022301064,0.00042334442092530994,0.0031473051199910076,0.0024117965224022203,0.005204373025126307,0.007245537867824409,0.0051825025867913085,0.008409904999221306,0.007005750826613123,0.008309920931280154,0.008677192776506035,0.0033319197916035622,0.03291905608727796,0.015919645750081004,0.005906190722538369,0.025546692712572577
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,0.002652301018483591,0.009773453072422144,0.0010975936724981568,0.0026905829596412557,0.0023991127809338433,0.0017539051795012332,0.001052654906479922,0.001327788080632949,0.0007810211851996485,0.023441195536011494,0.004334579821109759,0.01177109196731034,0.007706989442149259,0.010245876282281316,0.009395477802934342,0.007770978925974633,0.007443249848789701,0.006787066396597983,0.006602392948510272,0.007005198760699469,0.006023511124064899,0.012901054520978237,0.044533347370637466,0.013156155637117846,0.008034326495763917,0.00908895727474415,0.004707447810095279,0.0013919778527769569,0.03429951690821256,0.0036459699818153853,0.0013775408267348076,0.0015869616013708234,0.012435820086927613,0.012071447947749515,0.006840673650095492,0.0026062123970684733,0.0006804896245828926,0.005067981218657837,0.0016474127434026747,0.00571000053564733,0.013075342627506238,0.01640634368629332,0.03216445171030092,0.04753595773131992,0.01410233093874087,0.009002461610596648,0.013675323719835198,0.03257087930315841,0.0938718791266161,0.12144821761164291,0.09718432992177019,0.01173504353049673,0.01053481331987891,0.007191500520489817,0.009203830030782558,0.015869786368260426,0.024876554784674043,0.009207575169901684,0.005816776699831592,0.02221882117810168,0.007412588078008212,0.020715424471901157,0.010540809214209811,0.026686835278350352,0.008723419437705151,0.006571133739607874,0.008848188033098777,0.015491731940818102,0.019371975402976385,0.016363281122797876,0.009115171019839479,0.010329714114951689,0.007648292962044631,0.02205870513790716,0.014116790374765202,0.03495538172574282,0.010918645081103193,0.0071402532769086905,0.09272860329580222,0.02291016903469254,0.007762816641205102,0.014672340425531914,0.02404267621658926,0.01392180614806622,0.037619253201953765,0.052692142550450835,0.021128675537507705,0.02281708829722791,0.016065899398259042,0.014874687771884033,0.014866163796614587,0.019000188821752265,0.009673409831931259,0.014096901531215166,0.022918692620856752,0.015418835357444725,0.010137569329244794,0.004597899831467957,0.001783353800186157,0.006047462549678998,0.004369744967379549,0.003693682467913915,0.0028835974655943373,0.00394597397912016,0.002384091321749702,0.019672626035622046,0.009130431275759996,0.0026832646123823613,0.001673954365188007,0.001983255988962749,0.001157388802263338,0.01099140194769143,0.025775444264943458,0.004027805994011289,0.002850610426345796,0.0008015727701511175,0.006128436893663338,0.004504637561292609,0.01647594598906438,0.018289973258905252,0.032158902813903996,0.043134362322366,0.010406378724736829,0.0029951507083769134,0.011241454442111247,0.05790303477162736,0.015514876681703227,0.005061617944564,0.0035425708943061535,0.004402460456942004,0.0038127393255651173,0.0422994606626145,0.09977083781398557,0.02873698476720689,0.004886269329133005,0.016227574218156654,0.017268593977867376,0.003980939743048435,0.004246087352906418,0.008176371539335082,0.005959301143893139,0.0026250477281405116,0.0022201590441206153,0.004560553011940031,0.011756347101174687,0.009299354014339461,0.0065255382708184475,0.21450811473558545,0.06315633135887892,0.01891064166104095,0.01085801537623559,0.026259601253362172,0.01938224701137966,0.011653569637184417,0.013317770742889772,0.00866791609601384,0.009476980323429985,0.006846465630980257,0.008328266357120483,0.009391523952332097,0.07079853321440477,0.0631492927870363,0.007091951419261531,0.007774068460157899,0.015087572245884542,0.01712738207376277,0.014658493870402802,0.00747987172489083,0.008563376603592918,0.005621257360177478,0.011091647359881173,0.026437838977366374,0.013386641044223144,0.020237353786825243,0.036957459516856916,0.0509703258388448,0.014811544173724562,0.031314429654678615,0.023291045122914633,0.009863138760505059,0.015429336122016715,0.042355127555330295,0.04634325456823189,0.014668689934243804,0.010010728947765097,0.015114648282387929,0.010767004341534008,0.11076818781888893,0.05904339620912997,0.1082508538940844,0.009317543298125822,0.007620668740584219,0.004311302275802185,0.030920934321737568,0.009882276703747705,0.039705121572684944,0.03226436594497802
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Williamwhitmaniaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.482436759923541e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7174753112924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__p-251-o5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.662028820898701e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678634490876986e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.573291798429855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7784019705285e-05,2.3465181581396803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5312824320561606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7233505381162055e-05,0.0,0.0,0.0,5.5682830596919944e-05,4.036652807492028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8486167724999768e-05,0.0,6.687844841999666e-05,0.0,0.0,4.152927398523219e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011556323577060158,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.601105539400596e-05,0.0,0.0,0.0,0.0,1.7839303553589267e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.792352439821595e-05,0.0,5.506521294504492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.693035697657685e-05,0.0,1.812842173960335e-05,0.0,0.0,0.0,0.0,1.5735146022155086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6719612104999164e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6549578399490274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6756312940900485e-05,2.592800656842833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76380520700901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__uncultured,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7285337712285553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1426351451717952e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011013042589008984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
