,S1D0,S1D1,S1D3,S1D7,S1D14,S1D28,S2D0,S2D1,S2D2,S2D3,S2D14,S2D28,S3D0,S3D1,S3D2,S3D3,S3D7,S3D14,S3D28,S4D0,S4D1,S4D2,S4D3,S4D7,S4D14,S4D28,S5D0,S5D1,S5D2,S5D3,S5D7,S5D14,S5D28,S6D0,S6D1,S6D2,S6D3,S6D7,S6D14,S6D28,S7D0,S7D1,S7D2,S7D3,S7D7,S7D14,S7D28,S8D0,S8D1,S8D2,S8D3,S8D7,S8D14,S9D0,S9D1,S9D2,S9D3,S9D7,S9D14,S9D28,S10D0,S10D1,S10D2,S10D3,S10D28,S11D0,S11D1,S11D2,S11D3,S11D7,S11D14,S11D28,S12D0,S12D3,S12D7,S13D0,S13D1,S13D2,S13D3,S13D7,S13D14,S13D28,S14D0,S14D1,S14D2,S14D3,S14D7,S14D14,S14D28,S15D0,S15D2,S15D3,S15D7,S15D14,S15D28,S16D0,S16D1,S16D2,S16D3,S16D7,S16D14,S16D28,S17D0,S17D1,S17D2,S17D3,S17D7,S17D14,S17D28,S19D0,S19D1,S19D2,S19D3,S19D7,S19D14,S19D28,S20D0,S20D1,S20D2,S20D3,S20D7,S20D14,S20D28,S21D0,S21D1,S21D2,S21D3,S21D7,S21D14,S21D28,S22D0,S22D1,S22D2,S22D3,S22D7,S22D14,S22D28,S23D0,S23D1,S23D2,S23D3,S23D7,S23D14,S23D28,S24D0,S24D1,S24D2,S24D3,S24D7,S24D14,S24D28,S25D0,S25D1,S25D2,S25D3,S25D7,S25D14,S25D28,S26D0,S26D1,S26D2,S26D3,S26D7,S26D14,S26D28,S27D0,S27D1,S27D2,S27D3,S27D7,S27D14,S27D28,S29D0,S29D1,S29D2,S29D3,S29D7,S29D14,S29D28,S30D0,S30D1,S30D2,S30D3,S30D7,S30D14,S30D28,S31D0,S31D1,S31D2,S31D3,S31D7,S31D14,S31D28,S33D0,S33D1,S33D3,S33D7
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002334680470800393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.152927398523219e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4343888124048985e-05,4.3782837127845886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.027973026010633e-05,0.0,9.821146018616528e-05,0.0001541069502234551,0.0002445657490559762,0.0,0.0,0.0003024084674370882,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__Raoultibacter,0.0,0.0,2.5135732957973055e-05,0.0,0.0,0.0,0.0,3.2920365635527657e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00027927110242267683,0.0,6.17184896251219e-05,0.00015907186867026522,8.937249338084971e-05,5.251273433807698e-05,9.71534052268532e-05,8.158769657535644e-05,0.0,0.0,2.1891897808621028e-05,0.0,5.021277664101631e-05,0.0,0.0,3.618828766069861e-05,5.2577894150183496e-05,0.0,7.387615893224324e-05,5.216701792458736e-05,3.472423172637306e-05,0.0,0.0,0.0,7.16266410175076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010551226203216616,3.384295178225445e-05,0.0,0.0,0.0,0.0,6.250390649415588e-05,0.0,6.199051545113598e-05,2.700829154550447e-05,6.660862201034336e-05,5.9784774810681545e-05,5.1418581532730785e-05,0.0,0.0,0.00011195264889702303,7.282459286501051e-05,0.0,6.549503329330859e-05,0.0,8.83062854451618e-05,0.0,2.8609574670989892e-05,4.830373387862882e-05,0.0,3.771620816329609e-05,0.0,5.547366585833611e-05,0.0,0.0,4.440970618538388e-05,0.0,0.0,0.0,0.0,2.5762129669386002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.065286545466533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4872695346795435e-05,0.0,6.752397100970844e-05,0.0001050080775444265,6.183035517122592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3495320515330698e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571715584288023e-05,0.0,8.083420903726457e-05,2.5079418157498745e-05,0.0,0.0,0.0,8.320357537649617e-05,0.0,4.3844649637404745e-05,0.0,0.0,0.0,0.0,4.8732468494459116e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4506258572648615e-05,0.0,0.0,0.0,0.0,0.0,8.831723550995175e-05,0.00010640278775303913,5.9140602558253496e-05,3.859141341051616e-05,0.00021407928069361686,0.000797017140449078,0.0002728096116282369,4.741752314567849e-05,6.847840973567333e-05,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__uncultured,0.0,0.0,0.0002597359072323882,0.0,0.0,0.0,5.5402889814732736e-05,0.00013168146254211063,0.00016271274691659346,0.0,0.0,0.0,6.039960377859921e-05,0.0,0.00027927110242267683,0.0,0.00013578067717526818,0.0,4.4686246690424855e-05,0.00014703565614661556,0.00027931604002720295,0.0,0.0,0.0,0.0001641892335646577,0.00014313318542904174,0.0033642560349480925,0.00010886977619484579,0.00019069412662090009,9.951779106692119e-05,0.0004942322050117249,0.0008665005062699588,0.002462538631074775,0.00011476743943409219,9.259795127032814e-05,5.545132759720156e-05,0.0,0.0,2.046475457643074e-05,2.1425893191922438e-05,0.0,5.99592277251469e-05,6.257675430019634e-05,0.0002364567365708881,0.0003106907944590949,0.00018755128355409684,0.00011035903472630959,0.0,6.90968276878666e-05,8.121453631914064e-05,2.2609770435464178e-05,0.0003384295178225445,0.00016145307769929366,0.00014303536946830574,0.00014695190805451142,0.00021314731385941967,0.0006667083359376628,0.0007504342400377746,0.0006922274225376851,0.00013504145772752236,2.8546552290147156e-05,8.967716221602231e-05,0.0,3.1350173601586316e-05,0.0,0.0,0.0,0.0,0.0,0.00010583216646585691,0.0,0.00018926187867317461,0.0004482166698455083,8.050622313104803e-05,0.00018204536239439301,0.0002790999404083911,0.0002517266877487768,0.00010302252230833848,0.0,2.3102691463555504e-05,0.00011546523608199809,0.0001446808510638298,4.663048141309011e-05,0.0001228911009287056,0.00010158214185946111,0.00012881064834693003,0.0,7.692233728521841e-05,0.0001557905396194816,0.002020712301086133,0.00046431306104494877,0.0002202920443101712,0.0002612000792607137,0.0005112431589798604,0.0003461291226450858,3.5588771742515236e-05,0.0002597228505839575,0.00012964003284214164,0.0,0.00025794863955976764,0.0004361022921536476,0.0008900439681720277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.750086485483095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00013650342463003556,0.0,0.0,0.0,0.0,3.223960474244586e-05,3.4310613988437324e-05,0.0,0.00040350804957384607,5.992637616642411e-05,0.0,0.0,0.0,3.375470456194832e-05,0.00020588487604014755,0.00035328686031382215,0.00020259661325994834,0.0002662802991737479,8.943016723441272e-05,4.772814051164567e-05,0.00012109958422476083,8.977466558937069e-05,8.525956801818871e-05,0.0,0.0,0.0,9.610176303052541e-05,4.116378245764247e-05,8.929288960720058e-05,0.00011091700634999862,0.00012574210294685599,0.00024243437552248786,0.0002267211917137603,0.0,0.0002408697891143467,0.0,2.76380520700901e-05,0.0,0.0,7.824113919098662e-05,3.484988412413529e-05,0.0,0.0,7.245851749873198e-05,5.253940455341506e-05,3.4115720524017465e-05,0.00013057245138896445,4.170072225650948e-05,2.4217570654762385e-05,1.916479809885203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.20363887731861e-05,5.0684237202230105e-05,2.591904617910061e-05,0.0,0.0,0.0,0.00011577424023154849,0.00017839940057801405,0.0,0.00033828391841901373,0.00047417523145678486,0.0004989141280741915,0.0003230952525191333,0.0008192299238715607,0.0011232314504806135,0.0018796344197275392,0.0076509848608171905
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9895871774668117e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.039692414383911e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0272070231202938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010454965237240586,0.0,9.746493698891823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001309486135815537,0.0,0.0,0.0,0.0,8.64024192677395e-05,3.448870494912916e-05,0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia,0.00020039607695209355,0.0001500310778661294,9.216435417923453e-05,0.00015597582374731917,3.394970916415816e-05,6.577144423129624e-05,7.756404574062584e-05,0.0003950443876263319,0.00013830583487910443,0.00023651430473554196,0.0002131760567758898,0.00011057387842904675,0.0007731149283660699,0.0005197183621447045,0.0021643510437757453,0.0006955841276396874,0.0007529655734264871,0.0004666108147661113,0.0007149799470467977,0.00145985401459854,0.0038982803847274847,0.00275358475941828,0.0010633257882823603,0.00047785109346564045,0.001105540839335362,0.0013120541997662157,0.0007029788729742283,0.00010886977619484579,0.00030511060259344014,9.047071915174654e-05,0.0002313427342608074,0.00041864631201806997,0.00046788233990420724,0.0005112367756609561,0.000694484634527461,0.00020332153452307238,7.378803158127752e-05,0.00012776423240313874,0.0005013864871225532,0.0002785366114949917,0.0007793250572685837,0.0003372706559539513,0.00014079769717544174,0.00013861256971396888,9.851171531629839e-05,0.00010940491540655648,0.0007357268981753973,0.00024668464345562656,7.677425298651845e-05,0.00016242907263828128,0.00016580498319340397,0.00020305771069352668,0.00042785065590312816,0.0006913376190968111,0.00032484105990997263,0.0,9.375585974123383e-05,5.902291775578003e-05,0.00013431278347746128,0.00025207738775804173,0.00014273276145073579,8.967716221602231e-05,0.0001428293931464744,0.0,0.0009633223918938204,0.0003358579466910691,0.000609905965244463,0.0029969349528890907,0.0006258414292471709,0.00016281871763977986,0.0012657234247139858,0.0017232792110768004,0.0007247758916650773,0.0007809103643711658,0.0008771276551729844,0.0002338404906124358,0.00011013042589008984,0.00014264656935000713,0.0001763404075226818,0.00021562512032651803,0.0002486943546381497,0.00016170212765957446,0.00023315240706545055,0.0003247836238830077,0.00044865445987928655,6.8699012451696e-05,0.00022660527174504186,0.0004326881472293536,0.0004284239839535744,0.0006080847202342529,0.00027695866799172384,0.00018882175226586103,9.907589213337417e-05,8.381035393112465e-05,0.0002060292396696939,0.00034699052448952357,0.0011478074364516832,0.00015556803941057,0.00014861281668217976,0.0007356313054111892,0.0014914698391654746,0.0012282606760773982,0.002314778239504495,0.0004509684547565898,0.0007183851333749102,0.0003438097474256197,6.45260160831095e-05,0.00023606433540020774,0.0010872881157062287,0.0012071992976294996,7.233680014145863e-05,0.00022507990336569482,0.00023424878836833602,0.0003533163152641481,0.0008353974000087937,0.0007593847296168483,0.0,0.0,0.0,0.0,5.51745881611098e-05,0.0,0.00029709568890066567,3.169471649076099e-05,0.0,0.0,0.0,0.00019343762845467515,0.00040314971436413853,0.0003251318101933216,0.004002141063120188,0.0005564592072596524,0.0,6.492399834443805e-05,5.081042629947665e-05,0.00037130175018143156,0.0006262331646221154,0.0014217641939458696,0.0006331144164373385,0.0005795512393781571,0.0003902407297501646,0.0004931907852870052,0.0006377911435837403,0.0006374001256845318,0.0002178855627131489,0.0003283168879108398,0.00022383112802279635,8.872971316103637e-05,0.000165993954325453,0.0002634482077289118,0.0002143029350572814,0.0003142648513249961,0.0006736184086438714,0.0005768266176224712,0.00042825113990376944,0.0009370720103798745,0.0012624899291510585,0.0005467663524741178,0.0005343356733550753,0.0007453590438358807,0.00028831166490976746,0.00026080379730328876,0.0010454965237240586,0.0003998623729507053,0.0011500862564692352,0.0002807767553075864,0.00024518388791593696,0.0003326282751091703,0.000554932918403099,0.0002335240446364531,0.00013723290037698685,7.665919239540812e-05,0.0007165598612479541,0.0006398826028717931,0.00014932306875497744,0.00013378038277912023,0.00019066350901135952,0.0009661752400341612,0.0010502346763325433,0.00020378385868812104,0.000177246825066246,0.0001351579658726136,0.00021599205149250509,9.634607510176555e-05,0.0,0.0,0.0004534491075735649,0.0006689977521675527,0.0002748334967065786,0.0015713833629786445,0.0005215927546024634,0.0007043493572812115,0.0006058035984733749,0.0001798309588986353,0.0002700075602116859,0.00010346611484738747,0.0001410819903413099
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CHKCI002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.329401419397245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022953487886818438,0.0005903119393483419,0.0,0.0,0.0,8.185901830572296e-05,0.000342814291070759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76881871075143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9501335145127904e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.05506083030227e-05,0.0,0.0,0.0,0.0,0.00026380970526593484,7.593847296168482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3495320515330698e-05,0.0,0.0,0.0,0.0,0.0001326259946949602,0.0,0.0,0.0,0.0,0.0001481896168475129,9.822217856792063e-05,0.0001201600902124985,0.00012574210294685599,0.0,5.038248704750229e-05,6.307215454479925e-05,0.00026578735350548603,0.0002733831762370589,2.76380520700901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.626970227670753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001447178002894356,0.0004727584115317373,0.00016490009802394716,0.00010912384465129475,0.0001541069502234551,0.00029347889886717146,0.00014135417297712083,5.994365296621176e-05,0.00022680635057781618,0.00011208829108466977,0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36495378605179e-05,0.0,7.826103969791239e-05,8.077381312978332e-05,0.00018982156772633725,0.00035640997947942543,0.0011208829108466977,0.00032557382386456127
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Denitrobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.439004560938529e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6850736093453465e-05,0.0,0.0,0.0,3.484988412413529e-05,0.0,0.0,4.528657343670749e-05,0.0,0.00011940502183406113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68947457340767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella,0.002888061109015466,0.001553893306470626,0.000318385950800992,0.010190420484824853,0.007468936016114795,0.004121677171827898,0.0008199627692580445,0.0006584073127105532,0.00033356113117901656,0.00034163177350689396,0.0006395281703276694,0.0005830259044440647,0.0007127153245874707,0.00024748493435462114,0.00018950539092967356,0.0006521101196622069,0.0017774925012035106,0.0005090299797448488,0.0002681174801425491,0.000556634983983616,0.0008136597687748955,0.0008974646623289208,0.00035795125546138866,0.0003253454253383084,0.0005582433941198362,0.0005367494453589064,0.00018829791240381114,0.00040437345443799865,0.0017289600813628274,0.00020808265404901704,0.0001787648401106239,0.00013630345042448788,0.00012312693155373876,0.00042776954698161635,0.0003935412928988946,3.69675517314677e-05,0.00018037074386534504,0.00028746952290706215,0.00023534467762895353,0.00036424018426268144,0.00044083033542465346,0.0003822400767478115,0.0009542955030779941,0.0006686018068556147,0.00047740292807129216,0.0001562927362950807,0.0012323425544437906,0.0005444074890055207,0.00019961305776494795,0.00011911465326807294,0.0007913419652412463,0.0002538221383669084,0.0002583249243188698,0.00035758842367076437,0.00025523226135783564,0.00041660611345250203,0.0003750234389649353,0.0002192279802357544,0.0001446445360526506,0.0002610801516065432,9.991293301551506e-05,9.964129135113592e-05,7.998446016202567e-05,0.00014107578120713845,0.000633295276152419,0.0007301259710675416,0.0004369475571900631,0.000741665720664472,0.00023287122948731945,0.0005047380246833176,0.0007162620930552012,0.0008666201812929574,0.0004958992942971581,0.00041058173796834494,0.000786104973975788,0.0002790999404083911,0.00029105898270952315,0.00017434580698334206,0.00014107232601814543,0.00013861614878133303,0.0006039720041212208,0.0007744680851063829,0.0003264133698916308,0.0005003423394954442,0.00040632856743784445,5.1524259338772005e-05,0.0006526231826257206,0.000605763406121095,0.0007010574282876672,0.00020581328992543945,7.331258858604455e-05,0.00043271651560926485,0.0003963035685334967,0.0003184793449382737,0.0002307527484300572,0.00012456070109880332,0.0002848573199953082,0.0,0.00010950418071318509,0.00025794863955976764,0.00024421728360604265,7.120351745376221e-05,0.000734724833699379,0.00021796808646568506,0.0009631097392498796,0.00046959380136182204,0.00033876158443632494,0.000417046992540367,0.00032071088305003873,0.0005252100840336134,0.00024112266713819544,0.00045015980673138964,0.001098546042003231,0.000980452774858011,0.0004396828421098914,0.0004893812701975244,0.0005757733503699146,0.0033009393277013055,0.00019579689335595874,0.0001793134633226005,0.002254276030582486,0.0018597132745862726,0.0008109909345666819,6.338943298152199e-05,4.736567882912042e-05,0.0,3.963943965688101e-05,0.00033045594861007006,0.00015439776294796795,5.2724077328646747e-05,0.002322229999588257,0.0015238421368033558,0.00029665007898308356,0.00199641294909147,9.315244821570719e-05,0.0005907073298340956,0.00032598438706356694,0.00019818531188336365,0.0004220762776248924,0.00035242980772996047,0.0003252006081251372,0.000286368843069874,0.00012109958422476083,0.00028727892988598616,0.0002652519893899204,0.00011535458223894371,2.582666861801496e-05,0.0001693930887619785,0.0005154549108000909,0.0001152585908813989,0.0002946665357037619,0.00046215419312499423,0.0005388947269150972,0.00025079418157498745,0.00019313286701542543,0.0003784329272687955,0.0004817395782286934,0.0002733831762370589,0.00018425368046726733,0.0001052271591297714,0.0002612824463244768,0.0002868841770336176,0.00026137413093101466,0.0003626658731413374,0.0002436623424722956,0.0007517571190493442,0.0010945709281961471,0.0007164301310043669,0.0004134794293983874,0.00096745675635102,0.0012996762918055813,0.002175204584219705,0.00025242449657598385,0.0002474212731104267,0.0008378683302362622,0.00030936713517671553,0.0006723397423032152,0.0005693532664487022,0.00028811747757795435,0.00042387042607129177,0.0009216834903444792,0.000481500253421186,0.000596138062119314,0.0006101918089778484,0.0025093324111758394,0.0015461043240229129,0.00036661842739990353,0.0004905983515895387,0.0011909451523951738,0.0007856916814893223,0.0001659613310098747,0.00013695681947134666,0.00029280507259546456,0.00010989669710472156,0.00021600604816934875,0.0013019486118296258,0.0008247870204568886
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6271274691659346e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5857808363031065e-05,5.251273433807698e-05,7.28650539201399e-05,0.0,0.0,0.0,5.4729744521552574e-05,4.7711061809680574e-05,0.0005397873488909253,0.0,2.5425883549453343e-05,0.0,0.00033649852256117436,0.00013630345042448788,0.0003447554083504685,0.0,0.0,0.0,0.0,0.0,2.046475457643074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9377028532674515e-05,0.0,5.902291775578003e-05,0.0,0.0,0.00017603707245590747,0.0,5.1418581532730785e-05,0.0001567508680079316,7.135721421435707e-05,7.788010358053776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.038772213247173e-05,4.4164539408018516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.719888147398398e-05,7.908611599297012e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014648479573987748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010648115283594804,0.0,1.613267512018843e-05,0.0,0.0001317241038644559,0.0,1.8486167724999768e-05,0.00011676052416493772,0.0,3.358832469833486e-05,8.109277012902761e-05,0.0001744229507379752,0.0,0.0007001639857756158,0.0005524425854312998,9.009739528430233e-05,0.000208643037842631,0.0015246824304309188,0.00032546937333196945,0.00018518338027894465,0.00013585972031012245,0.00010507880910683012,0.00011087609170305677,0.0001740966018519526,0.0,0.0,0.0,0.0,6.82541443063246e-05,0.0,0.0,0.0,0.0,0.0,0.00012227031521287263,8.8623412533123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
