,S1D0,S1D1,S1D3,S1D7,S1D14,S1D28,S2D0,S2D1,S2D2,S2D3,S2D14,S2D28,S3D0,S3D1,S3D2,S3D3,S3D7,S3D14,S3D28,S4D0,S4D1,S4D2,S4D3,S4D7,S4D14,S4D28,S5D0,S5D1,S5D2,S5D3,S5D7,S5D14,S5D28,S6D0,S6D1,S6D2,S6D3,S6D7,S6D14,S6D28,S7D0,S7D1,S7D2,S7D3,S7D7,S7D14,S7D28,S8D0,S8D1,S8D2,S8D3,S8D7,S8D14,S9D0,S9D1,S9D2,S9D3,S9D7,S9D14,S9D28,S10D0,S10D1,S10D2,S10D3,S10D28,S11D0,S11D1,S11D2,S11D3,S11D7,S11D14,S11D28,S12D0,S12D3,S12D7,S13D0,S13D1,S13D2,S13D3,S13D7,S13D14,S13D28,S14D0,S14D1,S14D2,S14D3,S14D7,S14D14,S14D28,S15D0,S15D2,S15D3,S15D7,S15D14,S15D28,S16D0,S16D1,S16D2,S16D3,S16D7,S16D14,S16D28,S17D0,S17D1,S17D2,S17D3,S17D7,S17D14,S17D28,S19D0,S19D1,S19D2,S19D3,S19D7,S19D14,S19D28,S20D0,S20D1,S20D2,S20D3,S20D7,S20D14,S20D28,S21D0,S21D1,S21D2,S21D3,S21D7,S21D14,S21D28,S22D0,S22D1,S22D2,S22D3,S22D7,S22D14,S22D28,S23D0,S23D1,S23D2,S23D3,S23D7,S23D14,S23D28,S24D0,S24D1,S24D2,S24D3,S24D7,S24D14,S24D28,S25D0,S25D1,S25D2,S25D3,S25D7,S25D14,S25D28,S26D0,S26D1,S26D2,S26D3,S26D7,S26D14,S26D28,S27D0,S27D1,S27D2,S27D3,S27D7,S27D14,S27D28,S29D0,S29D1,S29D2,S29D3,S29D7,S29D14,S29D28,S30D0,S30D1,S30D2,S30D3,S30D7,S30D14,S30D28,S31D0,S31D1,S31D2,S31D3,S31D7,S31D14,S31D28,S33D0,S33D1,S33D3,S33D7
Unassigned;__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.141081161374361e-05,0.0,0.0,0.00012168766184459026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Caldatribacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6719612104999164e-05,1.679416234916743e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Campilobacterota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4217961654894048e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017127931374088295,0.0,5.7131757258589757e-05,0.0,0.0,0.00024337532368918051,1.8206148216252627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646551298305699e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6302708695049684e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Chloroflexi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3517910660767806e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6549578399490274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2936882782310004e-05,0.0,0.0,0.0,0.0,4.072921588113585e-05,3.147029204431017e-05,0.0,0.0,0.0,0.0,0.0,8.642668856142777e-05,1.564345438759787e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018634201746290906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.706353607658115e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.320120963386975e-05,3.448870494912916e-05,0.0
d__Bacteria;p__Coprothermobacterota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.760772343295237e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.6944736345754856e-05,0.0,2.5191243523751145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2570902783997916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Cyanobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.841007768540332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.351262588180097e-05,0.0,0.00017207799826357656,0.0,3.4888183372291806e-05,0.00041832066504085303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.211845285412602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0317268834067196e-05,0.0,0.0,0.0,0.0,0.0,0.00024239159709130083,8.525956801818871e-05,0.00013310144104493506,0.0,6.453070048075372e-05,0.0,0.0,0.0,6.47015870374992e-05,0.0,0.0,6.717664939666972e-05,0.00010812369350537015,4.152927398523219e-05,0.0,6.448878816354357e-05,0.0001403028788396952,0.0,0.0,0.0,0.0,0.0,0.00025360481124556193,0.0001838879159369527,0.0004435043668122271,0.000859601971644016,0.0002668846224416607,0.0003551910362698483,7.665919239540812e-05,0.0004152790104959734,0.0004265884019145288,0.00030694186355189804,3.344509569478006e-05,0.0,0.0,0.0,2.4454063042574524e-05,0.0,5.0684237202230105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001745981514420716,0.00011854380786419621,0.00010760892958462953,8.077381312978332e-05,0.0,3.2400907225402314e-05,0.0,0.0
d__Bacteria;p__Deferribacterota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7963157563836572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Dependentiae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6101244626209606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.662028820898701e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Desulfobacterota,0.003324217276499434,0.011938187195919155,0.0006283933239493263,0.006434002729576916,0.006835208111717176,0.0032776103041929298,0.0005761900540732205,0.001108318976396098,0.0010576328549578573,0.0006569841798209499,0.0008971159055985362,0.0006734954413405575,0.00531516513251673,0.005952012671228639,0.0019349497810714036,0.0020867523829190622,0.004394356461308679,0.004411593157788689,0.0009272396188263158,0.002069001732920233,0.002222384144564267,0.0018969139453770371,0.003021529715218192,0.0016470612157751864,0.0015871625911250246,0.0030415801903671364,0.000652766096333212,0.0006532186571690748,0.006064073226544622,0.0001176119348972705,0.0002523738919208808,0.0004478541942518888,0.0026964798010268784,0.000751205058114058,0.0009491290005208635,0.00044361062077761246,0.0005083175508932451,0.0029705184033729758,0.0007981254284807989,0.0016176549359901442,0.0007478371761668228,0.0017088379901666866,0.002643867869183295,0.002747790352565148,0.001098784516989482,0.0012034540694721213,0.000689743967039435,0.0008166112335082809,0.0007523876792678807,0.0006009875687616407,0.003919026875480458,0.0008968382222297429,0.0011301715438950554,0.000699284028511717,0.000819836960725169,0.0014435886256842514,0.0014584244848636374,0.0007757297762188232,0.00047526061845870913,0.000441135428576573,0.0005185956999376733,0.00039856516540454366,0.00039420912508426935,0.0015518335932785227,0.00040138432995575853,0.001723097291719398,0.001274430375137684,0.0012260188443637189,0.001579158024960885,0.0016770327916897326,0.0004611550462136227,0.0005080187269648371,0.0014781613580011443,0.0023185792261741834,0.0018866519375418912,0.0021271941404098996,0.0011249036358773462,0.0008400297972833753,0.0006700935485861908,0.0004851565207346656,0.001030305183500906,0.0016595744680851063,0.0006621528360658796,0.00031600568810238584,0.0005671669587153245,0.0005581794761700301,0.0005347884413182989,0.0005865328217997904,0.0007107943370138848,0.004004004004004004,0.0028266075821508285,0.0019354229607250755,0.003584745915371174,0.005824819598213163,0.004079378945459939,0.0005872147337515014,0.00016756312940900486,0.00016421070826671275,0.00014861281668217976,0.0003630388260470804,0.0006628754840735443,0.0018779927728429784,0.0008927301742798906,0.0008267755003870812,0.0012630947399998422,0.0017022775299366049,0.0014115066018180204,0.0008734380409807686,0.0006492439827598345,0.001606986078013295,0.00017682328923467665,0.0022357937067659017,0.0047415185783521805,0.004151466704353741,0.0014069850947516524,0.0005990701755866247,0.0017588692757875475,0.0035150942281562,0.005301019594192809,0.007258297145797438,0.0026956727358713644,0.002306986087461452,0.0008511390006343395,0.00014262622420842445,0.00011051991726794765,7.843813976107742e-05,0.00013477409483339544,0.0005077737746935222,0.00029164021890171725,0.00022847100175746925,0.00044468234034668753,0.0022258368290386096,0.0017205704581018844,0.0029621574244649857,0.0,0.0006413393866770181,0.0010380029167024105,0.0009047590325110079,0.0010636322196147289,0.0005952147863883776,0.0005528410338127332,0.0006045564464808452,0.0009607233681831025,0.0020289074423197775,0.0033156498673740055,0.0008518492226875843,0.0006628844945290507,0.0013470783725357338,0.0030228372735056175,0.004396291966476216,0.0031163218472913,0.002467903391287469,0.003493834146166213,0.004773449255977261,0.008968082694455407,0.002667051106465797,0.0016445592498151947,0.005871795176569873,0.00026716783667753765,0.00034198826717175704,0.00042345775783622094,0.000834572151370524,0.0010019341685688894,0.0009857072449482504,0.0014327345737370982,0.0006883559162379538,0.0006217162872154115,0.0008528930131004367,0.0024373524259273366,0.0017264099014194926,0.000629656837023822,0.0003928783610264666,0.00026056722227198333,0.0004265884019145288,0.00030694186355189804,0.0004598700658032258,0.0009332477020029703,0.0009316689814615126,0.0016078814071285841,0.0006113515760643631,0.0006735379352517348,0.0004646055076871093,0.0004924618774029115,0.0018948061436680557,0.0011438299683451706,0.00118281205116507,0.0009165460684997588,0.004477824954508153,0.007759465723682402,0.002226126430886413,0.0017070308332444255,0.0014967423842225745,0.0024535045738171683,0.0021279996803005175,0.0010692299384382762,0.0020865666494223143,0.002561180747734549
d__Bacteria;p__Elusimicrobiota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3465181581396803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000172804838535479,0.0,0.0
d__Bacteria;p__FCPU426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8013798569704394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Firmicutes,0.6281591852131271,0.5463167370383866,0.1073966083517662,0.6479365698316761,0.5867415069144241,0.5745245272677446,0.5541507845049197,0.46854459063525333,0.10630837319795633,0.22210445172480248,0.22110798255509267,0.33616469476583466,0.70800415549274,0.7072500711519186,0.5427234916866978,0.5943440315621298,0.770123313542271,0.7408825307273826,0.7442270955056808,0.7488105865672425,0.7432356941610804,0.5979052358904278,0.3215876190977523,0.5402767469524284,0.5603340703605596,0.6868126625158043,0.6086416188599189,0.6566091730562856,0.48768115942028983,0.7845258881962853,0.4688370821371862,0.6350085676454552,0.5872169619660909,0.621236149656741,0.41035939579836794,0.15042096799534208,0.10617277877528265,0.4606432929101498,0.5393997687482733,0.7177352830896138,0.7025733470830414,0.6516668665307591,0.6846600908927356,0.559212028309579,0.7039950289472886,0.6713398194818896,0.6463544732195409,0.723219830042787,0.5856032920799681,0.47154242647377315,0.438674765988876,0.7165568180856734,0.6992452068617558,0.6875233425776562,0.655637539251628,0.6002422128566585,0.501229243494385,0.6448422401726842,0.7200198369649443,0.5827399011496529,0.8048652840619841,0.671931048226385,0.6239016419667036,0.4647349734699156,0.7295739974311403,0.8493214695975546,0.7237308038924745,0.7112952662050176,0.6405559800604009,0.6157071216907095,0.8636060362252006,0.793654746488694,0.7276177760823955,0.4627175680680117,0.7820006785327144,0.6133711501180518,0.5561743836629379,0.20316833880145183,0.4396519040355502,0.7779215278579955,0.8242974384481472,0.7664340425531915,0.5708317012664839,0.6705026246027984,0.2981012604650769,0.1939888364104766,0.637340923099235,0.6351381236718878,0.6016338532842593,0.6969399305847904,0.251397012104723,0.5969363670694864,0.505665339650172,0.5337630010811536,0.6030146198348469,0.7453712353752391,0.749962298295883,0.1563804502830474,0.24223889119195302,0.8048284163864262,0.7866413145867495,0.8363921177706178,0.7076585188579374,0.6921313520785888,0.7095355758527863,0.579654848555999,0.7049467257079713,0.6692423908595889,0.6092489889784968,0.8670434591747147,0.25883714575061484,0.623088696487253,0.6004604200323101,0.7429800464610955,0.7844381586082573,0.7381725828362176,0.6473822030823593,0.5650440125243693,0.02976112779010573,0.02508829239009254,0.24986994561362025,0.5761109236575931,0.5862179718802946,0.8082073468352825,0.6545699985790296,0.20691981268972226,0.5285839999365769,0.7649974611311265,0.5252526118954899,0.5880316344463972,0.5602915139786717,0.49151613731701055,0.5074644576124119,0.43625680687545143,0.5524278915366767,0.5499569627516835,0.5995710731749163,0.7518202890058853,0.727769242457497,0.7103575204605083,0.5842228924968089,0.677930507827415,0.7501634844387034,0.7252715683634079,0.5750189465706708,0.801208561084688,0.2820530479773414,0.20717581389345982,0.5020618196432004,0.7252152865822534,0.6970202962738077,0.7015315789960163,0.6662445324639165,0.689157331549908,0.7323682288036678,0.6828732069487494,0.6828409345747818,0.8860705328594691,0.707368304681886,0.6989977113092889,0.4153940409582759,0.5154178511505794,0.7516945756155361,0.8451881677934107,0.6225280455356186,0.6450257227737121,0.5459807355516637,0.6773420442139738,0.7816066940143412,0.37267101466197394,0.5749170548205075,0.5697790298779203,0.5308650017506861,0.495772508937027,0.2998656092381205,0.27003570263965415,0.6795548508810662,0.5679988957997256,0.5338630977275896,0.5301314813456256,0.5831509168092026,0.4894914681534043,0.4355177329474275,0.5271976941172692,0.5057413170891744,0.5254473564150657,0.7290303907380608,0.43331430406393834,0.28740254862262615,0.5204443522954201,0.7386938843249523,0.75838860519262,0.8507703802427253,0.5370052150978081,0.671325197105519,0.5191929643041904,0.345064843453253
